,Unnamed: 0,name,list_date,amount,avg_price,p_pc,wom_index,title,rate,directors,actors,types,region,duration,url,release_year
44,44,游侠索罗：星球大战外传,2018-05-25,8186.0,36.0,6.0,7.09,游侠索罗：星球大战外传 Solo: A Star Wars Story‎ (2018),6.9,朗·霍华德,阿尔登·埃伦瑞奇|艾米莉亚·克拉克|伍迪·哈里森|唐纳德·格洛弗|保罗·贝坦尼|乔纳斯·索塔莫|菲比·沃勒-布里奇|沃维克·戴维斯|坦迪·牛顿|克林特·霍华德|伊安·肯尼|理查德·迪克森,动作|科幻|冒险,美国,135.0,https://movie.douban.com/subject/25900947/,2018
45,45,湮灭,2018-04-13,6513.0,32.0,6.0,7.65,湮灭 Annihilation‎ (2018),7.2,亚历克斯·嘉兰,娜塔莉·波特曼|詹妮弗·杰森·李|吉娜·罗德里格兹|泰莎·汤普森|奥斯卡·伊萨克|水野索诺娅|大卫·吉雅西|图娃·诺沃妮|黄凯旋|约翰·施瓦布|萨米·海曼|乔希·丹福德|克里斯汀·麦加里蒂,剧情|科幻|惊悚,美国,114.0,https://movie.douban.com/subject/26384741/,2018
46,46,潜艇总动员：海底两万里,2018-06-01,7236.0,31.0,9.0,5.64,潜艇总动员：海底两万里‎ (2018),3.7,申宇,范楚绒|洪海天|李晔|谭满堂,动画|奇幻|冒险,中国大陆,75.0,https://movie.douban.com/subject/30146980/,2018
47,47,熊出没·变形记,2018-02-16,54823.0,36.0,34.0,8.0,熊出没·变形记‎ (2018),6.8,丁亮|林汇达,张伟|张秉君|谭笑,喜剧|动画|冒险,中国大陆,89.0,https://movie.douban.com/subject/27176717/,2018
48,48,爱情公寓,2018-08-10,55460.0,35.0,28.0,2.89,爱情公寓‎ (2018),3.0,韦正,陈赫|袁弘|娄艺潇|邓家佳|孙艺洲|李佳航|李金铭|刘天佐|赵志伟|张双利|南派三叔|韦正|汪远|朱桢|于立,喜剧|冒险,中国大陆,117.0,https://movie.douban.com/subject/24852545/,2018
49,49,狂暴巨兽,2018-04-13,99171.0,35.0,12.0,6.96,狂暴巨兽 Rampage‎ (2018),6.4,布拉德·佩顿,道恩·强森|娜奥米·哈里斯|杰弗里·迪恩·摩根|玛琳·阿克曼|杰克·莱西|乔·曼根尼罗|玛丽·谢尔顿|P·J·伯恩|德米垂斯·格罗斯|杰克·奎德|布里安·希尔|马特·杰拉德|李威尹|尤里亚·费伯|布鲁斯·布莱克希尔|杰森·莱尔斯|马克·威尔斯|阿莉莎·布鲁克|亚当·希泰凯尔|加里·维克斯|阿诺德·陈,动作|科幻|冒险,美国,107.0,https://movie.douban.com/subject/26430636/,2018
50,50,狄仁杰之四大天王,2018-07-27,60639.0,39.0,17.5,6.98,狄仁杰之四大天王‎ (2018),6.2,徐克,赵又廷|冯绍峰|林更新|阮经天|马思纯|刘嘉玲|盛鉴|杨一威|唐古特·宝日夫|张傲月|孙蛟龙|汪汐潮|铁男|李炳雷|许明虎,动作|悬疑|奇幻|武侠|古装,中国大陆,132.0,https://movie.douban.com/subject/25882296/,2018
51,51,猛虫过江,2018-06-15,19067.0,32.0,12.0,4.39,猛虫过江‎ (2018),3.7,小沈阳,小沈阳|潘斌龙|宋芸桦|金士杰|刘桦|胡明|曹瑞|陈惠敏|姚中仁|李立群|苑琼丹|肖央|杨树林|陈汉典|九孔|纳豆|沈春阳|高捷|马浴柯,喜剧|动作,中国大陆,99.0,https://movie.douban.com/subject/26818314/,2018
52,52,环太平洋2：雷霆再起,2018-03-23,63313.0,35.0,11.5,6.87,环太平洋：雷霆再起 Pacific Rim: Uprising‎ (2018),5.5,斯蒂文·S·迪奈特,约翰·博耶加|斯科特·伊斯特伍德|卡莉·史派妮|景甜|查理·戴|伯恩·戈曼|张晋|亚德里亚·霍纳|菊地凛子|卡兰·布拉尔|黄恺杰|伊万娜·萨赫诺|新田真剑佑|吉丽|雪莉·罗德里格斯|拉哈特·亚当斯|列维·米登|达斯汀·克莱尔|陈梓童|于小伟|钱泳辰|郭家铭|蓝盈莹|金桢勋|菊池润美|丹尼尔·弗雷里格尔|齐柏林·汉密尔顿|尼克·塔拉贝|布里德基·萨蒂纳|小蒂姆·约翰逊|玛德琳·麦格劳|乔什·斯坦伯|斯蒂芬妮·阿琳|卢克·朱迪,动作|科幻|冒险,美国,111.0,https://movie.douban.com/subject/20435622/,2018
53,53,碟中谍6：全面瓦解,2018-08-31,122146.0,36.5,23.5,4.105,碟中谍6：全面瓦解 Mission: Impossible - Fallout‎ (2018),8.2,克里斯托弗·麦奎里,汤姆·克鲁斯|亨利·卡维尔|文·瑞姆斯|西蒙·佩吉|丽贝卡·弗格森|西恩·哈里斯|安吉拉·贝塞特|凡妮莎·柯比|米歇尔·莫纳汉|韦斯·本特利|费雷德里克·施密特|亚历克·鲍德温|杨亮|克里斯托弗·琼勒|沃尔夫·布利策|拉斐尔·琼勒|安德鲁·卡扎纳夫·平|克里斯多夫·德·舒瓦西|拉裴尔·德普雷|让·巴普蒂斯特·菲永|马克斯·盖勒|奥利维尔·体班德|亚历山大·普尔|阿利克斯·贝纳泽什|乔伊·安沙|维利贝·托皮奇|格雷厄姆·福克斯|卡斯珀·菲利普森|菲恩·乔利|鲁斯·贝恩|奈杰尔·艾伦,动作|惊悚|冒险,美国,148.0,https://movie.douban.com/subject/26336252/,2018
